날짜,title,category,summary,img
2020-05-12,[단독] 폭행 주민 “내 수술비 2천만원…돈 준비해” 경비원 협박,사회,"서울 강북구의 한 아파트에서 스스로 목숨을 끊은 경비원 최희석씨의 폭행 가해자로 지목된 입주민 심아무개씨가 폭행 후유증으로 병원에 입원한 최씨에게 , 라는 협박·조롱 문자를 보낸 것으로 확인됐다.12일 가 유족을 통해 입수한 고인의 휴대전화 문자메시지를 보면, 심씨는 폭행 사건 관련 고소 건으로 경찰 조사가 시작된 뒤부터 최씨에게 지속해서 협박 문자를 보냈다.",https://imgnews.pstatic.net/image/028/2020/05/12/0002496976_001_20200513024309069.jpg?type=w647
2020-05-12,이태원클럽 다녀온 공중보건의 코로나19 확진,사회,이태원 클럽발 집단감염의 공포가 멀리 전라북도 지역까지 번졌다.12일 전북도에 따르면 지난 5일 서울 이태원클럽을 다녀온 김제지역 공중보건의 A씨가 이날 오전 신종 코로나바이러스 감염증 확진 판정을 받았다.A씨는 대구지역 의료지원을 다녀온 뒤 친구들과 함께 이태원클럽을 간 것으로 알려졌다.,https://imgnews.pstatic.net/image/011/2020/05/12/0003735792_001_20200512163903557.jpg?type=w647
2020-05-12,"사업자등록 보니 '목욕탕'…논란의 블랙수면방, 단속 못한다",사회,"'블랙수면방'과 유사한 성소수자 전용 시설들이 여전히 영업 중인 것으로 확인됐다.해당 업소들은 유흥업소로 등록이 안 돼 집합금지 명령 대상이 아니기 때문이다.이태원 클럽발 코로나19가 확산되자 지난 9일 서울시는 유흥업소 집합금지 명령을 내렸고, 지자체와 경찰도 클럽 등 유흥업소들이 방역수칙을 잘 지키고 있는지 합동점검을 하고 있다.",https://imgnews.pstatic.net/image/025/2020/05/12/0002999865_001_20200512064306537.jpg?type=w647
2020-05-13,"웜비어家의 집념… 김정은, 유태인 인맥 잘못 건드렸다",정치,"장남을 잃은 부모의 한이 김정은의 해외 자산에 '오뉴월의 서리'가 되어 내리고 있다.웜비어 부부는 2018년 말 아들의 죽음에 대한 북한 당국의 배상을 요구하는 소송을 미국 법원에 제기해 5억114만달러의 배상 판결을 받았다.북한은 배상을 거부했지만, 두 사람은 해당 판결을 근거로 김정은 정권이 전 세계에 은닉해 둔 자산을 추적하고 있다.",https://imgnews.pstatic.net/image/023/2020/05/13/2020051300075_0_20200513145901919.jpg?type=w647
2020-05-13,"소녀상 철거, 기자들도 놀랐다…윤미향 주장 뒷받침 정황",정치,"일본군 위안부 피해자 단체를 이끌어온 윤미향 국회의원 당선자를 둘러싼 의혹은 크게 두 가지다.다만 위안부 합의의 독소조항이라 할 수 있는 '소녀상 철거'와 '불가역적 해결' 조항 등은 사전 설명에서 빠져있었다는 게 윤 당선자 측의 반박이다.윤 당선자는 11일 CBS 에 출연해 소녀상 철거, 또 불가역적 해결이라 한다, 국제사회에서 비난을 자제한다.이런 아주 폭력적이었던 우리가 모두 충격을 금할 수 없었던 그런 사항은 철저하게 기밀에 부쳤었죠라고 말했다.",https://imgnews.pstatic.net/image/079/2020/05/13/0003359177_001_20200513091701126.jpg?type=w647
2020-05-13,민경욱이 흔든 '투표 용지 증거'…구리 선관위서 유출,정치,"연일 투표 조작 의혹을 제기하고 있는 민경욱 의원이 어제는 투표 용지를 보이면서 증거라고 주장했습니다.그런데 선관위 조사 결과 이 투표 용지는 구리시 선관위에서 사라진 것들로 드러났습니다.선관위는 누군가 무단으로 가져간 것으로 보고 곧바로 검찰에 수사를 의뢰했는데, 민 의원은 여전히 입수 경위를 밝히지 않고 있습니다.",
2020-05-13,민경욱의 '결정적 증거'... 선관위에 딱 걸리다,정치,"지난 11일 국회의원회관에서 민경욱 미래통합당 의원이 주도하는 '4.15 총선 의혹 진상규명과 국민주권회복대회'가 열렸습니다.보관됐던 잔여투표용지가 민경욱 의원에 의해 공개되면서 구리시선관위는 '성명불상자'가 잔여투표용지 일부를 탈취한 것으로 추정한다고 밝혔습니다.민경욱 의원이 공개한 투표용지가 분실된 잔여투표용지가 맞다면, 누군가 훔쳐서 민 의원에게 건넨 것으로 추정할 수 있습니다.",https://imgnews.pstatic.net/image/047/2020/05/13/0002269362_001_20200513104201083.jpg?type=w647
2020-05-13,“여권 대선주자는 이낙연” 36%… “야권은 없다” 28%-“원희룡” 12%,정치,21대 국회 초선 당선자들이 예상한 여야의 차기 대선 구도는 '이낙연 vs 미정'이었다.홍 전 대표가 야권의 대선 후보가 되는 게 여권에 유리할 수 있다는 분석이 깔렸다는 말도 나온다.야당 초선들은 이 전 총리를 여권의 강력한 차기 대선 주자로 꼽으면서도 김 의원과 김경수 지사를 많이 꼽았다.,https://imgnews.pstatic.net/image/020/2020/05/13/0003285693_001_20200513031502128.jpg?type=w647
2020-05-13,긴급재난지원금 오늘 지급…일반 카드결제와 동일 혜택 받아,경제,오늘부터 긴급재난지원금을 카드로 사용할 수 있게 됨에 따라 현명하게 결제하면 카드사로부터 더 많은 혜택을 받을 수 있다.신한·삼성·KB국민·현대·롯데·우리·하나카드가 제안한 팁을 종합하면 긴급재난지원금도 일반 카드 결제와 동일하게 취급되므로 혜택을 받을 수 있는 업종이나 가맹점에서 결제하는 것이 낫다.예컨대 1만원 이상 결제하면 5%를 할인해주거나 일정 비율을 포인트로 적립해주는 업종이나 가맹점이 있다면 긴급재난지원금으로도 동일한 혜택을 받을 수 있다.,https://imgnews.pstatic.net/image/001/2020/05/13/PCM20200505000030990_P4_20200513115216355.jpg?type=w647
2020-05-13,"재난지원금 사용 직후 `카톡`…""잔액은 59만6000원입니다""",경제,"택시도 탔고, 커피도 잘 마셨습니다. 긴급재난지원금을 실제로 사용할 수 있었던 첫날, 많은 사람들이 정책 효과를 실감했다.일부 음식점에서는 재난지원금이 사용될 수 있는지 잘 모르는 상황이라 다른 카드를 요구하기도 했다.재난지원금을 카드를 통해 결제하면 더 많은 혜택을 받을 수 있다.",https://imgnews.pstatic.net/image/009/2020/05/13/0004574386_001_20200513193200991.jpg?type=w647
2020-05-13,재난지원금 사용의 모든 것…아빠카드 여러장 OK,경제,"정부 긴급재난지원금 신청 사흘째인 13일부터 실제 카드 포인트 입금이 시작됐다.콜센터 연결이 힘든 고객을 위해 카드사는 홈페이지와 모바일앱에서 재난지원금 사용 가능 가맹점을 검색할 수 있게 하고 있다.삼성·롯데카드는 현재 지역별 사용가능 가맹점 검색이 가능하고, KB국민카드는 고객 위치를 기반으로 한 '재난지원금 사용 가맹점 지도' 서비스를 제공한다.",https://imgnews.pstatic.net/image/023/2020/05/13/2020051300683_0_20200515102703720.jpg?type=w647
2020-05-13,[속보]긴급재난지원금 오늘 지급…일반 카드결제와 동일 혜택 받아,경제,,
2020-05-13,[단독] 공적마스크 가격 200~300원 내린다,경제,"정부가 개당 1,500원인 공적마스크 KF94와 KF80의 가격을 내리기 위한 준비작업에 나섰다.일부 온라인 쇼핑몰은 KF94 마스크 10장 묶음을 1만1,900원에 팔거나 KF80 마스크를 장당 990원에 판매했다.하지만 정부는 공적마스크 가격을 일부 업체에서 이벤트성으로 판매하는 1,000원 수준까지 내리기는 어렵다는 입장이다.",https://imgnews.pstatic.net/image/011/2020/05/13/0003736831_001_20200513232310658.jpg?type=w647
2020-05-13,"[단독] 수원 킹핀볼링장, 코로나19 집단감염 위기",사회,"염태영 수원시장이 13일 자신의 SNS를 통해 킹핀볼링장에 '불금'인 지난 8일 오후 11시부터 9일 새벽 4시까지 머문 시민들에게 집단감염이 우려된다며 자진신고를 당부했다.염 시장은 이날 '코로나19 수원시 대응 355보'에서 시민께 알려드립니다.오늘 낮 12시에 발표한 '수원시 54번 확진자'의 역학조사 동선 확인 과정에서 집단감염 위험 상황이 확인되었습니다.시민의 생명과 안전이 달린 매우 엄중한 상황인 만큼 자진신고 및 대인접촉을 금지해주시기 바랍니다라고 했다.이어 이 시간대에 머문 모든 시민께서는 장안구보건소로 지체없이 자진신고해주시고, 신고 후에는 모든 대인접촉을 금지해주시기 바랍니다라고 했다.",https://imgnews.pstatic.net/image/016/2020/05/13/20200513000781_0_20200514140401594.jpg?type=w647
2020-05-13,n번방 '갓갓'은 24세 문형욱…18일 얼굴 공개(종합),사회,"텔레그램 성착취 대화방 'n번방' 운영자인 대화명 '갓갓'은 대학 4학년인 1995년생 문형욱으로 드러났다.경북지방경찰청은 신상공개위원회를 개최하고 아동청소년성보호법 위반 혐의 등으로 전날 구속된 문형욱의 신상정보를 공개하기로 결정했다고 13일 밝혔다.경찰은 이날 오후 경찰관 3명과 변호사, 대학교수 등 내외부 위원 7명으로 구성된 신상정보 공개 심의위원회를 열어 이같이 결정했다.",https://imgnews.pstatic.net/image/014/2020/05/13/0004423946_001_20200513165410572.jpg?type=w647
